"ecoregion_id","species_id"
"AT0101",17507
"AT0101",17688
"AT0101",17730
"AT0101",17736
"AT0101",17741
"AT0101",17789
"AT0101",17793
"AT0101",17814
"AT0101",17831
"AT0101",17838
"AT0101",17854
"AT0101",17900
"AT0101",17906
"AT0101",17912
"AT0101",17917
"AT0101",17921
"AT0101",17926
"AT0101",17928
"AT0101",17944
"AT0101",17953
"AT0101",17973
"AT0101",17981
"AT0101",17997
"AT0101",18002
"AT0101",18006
"AT0101",18012
"AT0101",18036
"AT0101",18053
"AT0101",18071
"AT0101",18072
"AT0101",18080
"AT0101",18083
"AT0101",18088
"AT0101",18103
"AT0101",18117
"AT0101",18123
"AT0101",18128
"AT0101",18150
"AT0101",18220
"AT0101",18245
"AT0101",18251
"AT0101",18254
"AT0101",18269
"AT0101",18298
"AT0101",18310
"AT0101",18322
"AT0101",18333
"AT0101",18414
"AT0101",18445
"AT0101",18460
"AT0101",18473
"AT0101",18486
"AT0101",18628
"AT0101",18645
"AT0101",18647
"AT0101",18655
"AT0101",18738
"AT0101",18773
"AT0101",18844
"AT0101",18852
"AT0101",18867
"AT0101",18879
"AT0101",18892
"AT0101",18894
"AT0101",18900
"AT0101",18903
"AT0101",18921
"AT0101",18933
"AT0101",18954
"AT0101",18979
"AT0101",18993
"AT0101",19006
"AT0101",19014
"AT0101",19016
"AT0101",19030
"AT0101",19092
"AT0101",19101
"AT0101",19120
"AT0101",19124
"AT0101",19171
"AT0101",19228
"AT0101",19234
"AT0101",19268
"AT0101",19274
"AT0101",19279
"AT0101",19302
"AT0101",19304
"AT0101",19306
"AT0101",19617
"AT0101",19619
"AT0101",19628
"AT0101",19896
"AT0101",19911
"AT0101",19920
"AT0101",19922
"AT0101",19934
"AT0101",19940
"AT0101",19943
"AT0101",19966
"AT0101",19968
"AT0101",20019
"AT0101",20028
"AT0101",20108
"AT0101",20139
"AT0101",20173
"AT0101",20196
"AT0101",20203
"AT0101",20240
"AT0101",20258
"AT0101",20263
"AT0101",20361
"AT0101",20369
"AT0101",20371
"AT0101",20375
"AT0101",20434
"AT0101",20443
"AT0101",20467
"AT0101",20476
"AT0101",20485
"AT0101",20827
"AT0101",20869
"AT0101",20880
"AT0101",20890
"AT0101",20906
"AT0101",20909
"AT0101",20952
"AT0101",20979
"AT0101",20984
"AT0101",20989
"AT0101",20994
"AT0101",20997
"AT0101",21004
"AT0101",21010
"AT0101",21020
"AT0101",21027
"AT0101",21030
"AT0101",21081
"AT0101",21168
"AT0101",21175
"AT0101",21179
"AT0101",21181
"AT0101",21184
"AT0101",21189
"AT0101",21199
"AT0101",21223
"AT0101",21226
"AT0101",21228
"AT0101",21230
"AT0101",21235
"AT0101",21281
"AT0101",21341
"AT0101",21346
"AT0101",21348
